B02,B03,B04,B08,class
1665,3919,2025,30828,forest
1547,2995,1776,20814,forest
2438,4758,3060,20657,forest
2110,3460,3513,13775,forest
1357,3002,1651,19805,forest
1422,3421,1638,19503,forest
1311,2648,1560,17262,forest
1160,2733,1304,29976,forest
1357,2543,1547,18717,forest
2739,4804,3709,19778,forest
2215,3650,4083,12124,forest
2123,4469,2641,22544,forest
3211,4535,6219,10918,forest
1534,3513,1625,28521,forest
2215,5747,2333,39111,forest
1579,3192,1868,22544,forest
924,2857,1029,34819,forest
1887,3441,3067,14660,forest
1828,3467,2621,17373,forest
1101,2772,1278,23724,forest
1396,3060,1691,20198,forest
1835,3473,2431,16934,forest
1396,3028,1769,22072,forest
1232,2209,1337,15663,forest
1599,3513,2458,18428,forest
1737,3801,2458,20650,forest
1717,3139,2195,18494,forest
1986,4902,2071,32289,forest
1468,3840,1789,24654,forest
1298,2490,1389,17786,forest
1324,2543,1416,16017,forest
1710,3172,2405,17629,forest
1468,3539,1606,25847,forest
2163,4561,2123,33082,forest
1350,2490,1566,15453,forest
1658,3618,2372,19012,forest
1743,3303,2104,22256,forest
2667,4024,3958,14811,forest
2018,4823,2576,21260,forest
2058,5610,2359,39400,forest
1855,3683,2870,17852,forest
1992,3486,2975,13173,forest
2182,5223,2123,37381,forest
1468,3618,1874,25919,forest
2916,4627,6055,11534,forest
2903,5400,3775,19202,forest
3146,4306,5492,10420,forest
1894,3270,2313,18691,forest
1520,2870,1494,18022,forest
1180,2857,1461,19582,forest
1828,3434,2595,18114,forest
1029,2870,1357,24694,forest
1566,3467,2307,19411,forest
1101,2497,1258,20342,forest
2392,3775,4181,11796,forest
1809,3565,2477,19949,forest
2110,3552,2569,16135,forest
1966,3867,2464,17445,forest
2169,4299,2975,19503,forest
1619,3473,1691,25008,forest
1783,3683,2477,19883,forest
3342,5302,4732,18782,forest
1959,5033,1992,36483,forest
2359,4083,3047,23226,forest
1560,3329,1750,25113,forest
1737,3880,1953,20211,forest
1258,2477,1343,18651,forest
1540,3270,1861,24458,forest
1311,2857,1442,19621,forest
1737,3513,2307,19267,forest
1422,3211,1678,25559,forest
1055,2464,1239,19490,forest
1252,3618,1481,23147,forest
1514,3421,1691,28154,forest
1455,3224,1579,24877,forest
1311,2307,1337,17747,forest
1245,2910,1396,19661,forest
1291,2176,1645,15414,forest
2228,4063,3113,16829,forest
1357,3008,1468,18258,forest
2752,3657,4954,8887,forest
1855,3473,2366,18632,forest
1409,3742,1717,24071,forest
1743,3840,2136,23796,forest
1625,3368,2005,24956,forest
2005,4679,2110,32034,forest
1035,2674,1127,30408,forest
1422,2438,1743,17930,forest
1101,2104,1258,17341,forest
1638,3559,2182,19661,forest
2248,4037,3644,14981,forest
1376,3401,1638,27525,forest
2287,3867,2995,17563,forest
1671,3080,1966,19765,forest
1193,2582,1324,29858,forest
2018,4863,2608,25034,forest
1671,3382,1914,23933,forest
1717,3604,2621,15742,forest
1035,2772,1193,29104,forest
1114,3146,1140,30310,forest
904,2163,1088,20073,forest
1894,3604,3853,10538,forest
2169,3618,2903,20316,forest
2241,3486,4096,9358,forest
1153,2589,1448,23658,forest
1638,3631,2261,19484,forest
1068,2451,1252,26450,forest
1121,2700,1258,28914,forest
2025,3657,2857,17019,forest
1304,2752,1343,24851,forest
1245,2464,1422,16135,forest
1173,2687,1442,24333,forest
2182,3801,3185,15532,forest
3041,4102,4496,12648,forest
1114,2399,1697,12753,forest
3434,5669,4745,20526,forest
1953,3912,2831,16685,forest
2392,4836,2281,28993,forest
1206,2687,1226,17196,forest
1396,3519,1409,30513,forest
1350,2707,1815,17681,forest
3290,4732,5413,14916,forest
2766,4247,5407,11849,forest
1586,4293,1822,35186,forest
2038,3604,3126,14536,forest
1357,2857,1520,23724,forest
1704,3880,2313,21181,forest
1389,3139,1494,22256,forest
1776,3768,2182,23140,forest
1638,3395,1710,26869,forest
2385,4686,2182,28468,forest
1153,2595,1586,19294,forest
1704,3578,2228,20860,forest
1959,3788,2897,15558,forest
3100,4587,5964,11888,forest
2903,5164,4024,19477,forest
2333,3814,4352,11560,forest
1920,4469,2241,21312,forest
2104,3939,4338,10676,forest
2464,3978,3840,13749,forest
1612,3041,2058,20709,forest
1671,3572,1966,20919,forest
2733,4273,5662,10774,forest
2857,4142,4063,13605,forest
1173,2648,1291,29150,forest
1835,4325,2412,25093,forest
2556,4050,4738,12924,forest
2602,4102,4404,12137,forest
1422,3264,1665,22623,forest
2294,3912,3388,15322,forest
1239,3028,1442,18573,forest
2241,5099,2615,26031,forest
1206,2949,1612,23226,forest
3100,5066,4404,18782,forest
2490,3703,4378,9706,forest
1619,3454,1678,20106,forest
1828,4266,2641,20362,forest
1828,3932,2353,20277,forest
1619,3395,2032,24510,forest
1311,2576,1658,18625,forest
2136,4004,2687,19647,forest
898,2399,1291,23042,forest
1796,4102,2517,23206,forest
1809,3958,2274,22151,forest
2700,3657,3644,13015,forest
1068,2562,1258,21476,forest
1789,3336,2176,20014,forest
983,2726,1114,30644,forest
2569,3932,4456,11613,forest
1337,3500,1468,22177,forest
1055,2693,1147,29707,forest
1258,2785,1481,19700,forest
1343,3840,1579,26024,forest
1612,3460,1914,17957,forest
2739,4050,5321,11731,forest
2281,4004,3133,15886,forest
1874,3368,2956,14601,forest
1868,4122,2110,29491,forest
2222,5662,2353,39059,forest
1108,2759,1311,26397,forest
2523,4220,3657,19477,forest
1357,3237,1809,22983,forest
1160,2471,1357,17498,forest
1022,2687,1350,26188,forest
1153,2595,1193,27630,forest
1756,4568,1868,22492,forest
1514,3342,1776,27446,forest
1573,3683,1973,22787,forest
1357,2595,1534,18625,forest
2910,5308,4037,20761,forest
1363,3349,1330,24956,forest
1796,3814,2477,19123,forest
1402,2680,1350,21522,forest
3041,5492,3939,22387,forest
1769,3945,1920,21574,forest
3224,4764,6147,12989,forest
1062,2621,1160,27708,forest
2884,4325,5066,11469,forest
2071,4116,2490,20709,forest
1835,3454,2484,17970,forest
1363,3002,1534,19189,forest
1933,3211,2530,15086,forest
1756,4319,1927,33895,forest
1422,2648,1416,22256,forest
1226,3310,1324,32715,forest
2182,4037,3395,15165,forest
3329,4679,4935,13081,forest
1573,3519,2110,22839,forest
1992,4260,2464,21705,forest
2012,3526,2975,17550,forest
813,2228,983,21705,forest
1743,3473,2595,17865,forest
996,2431,1081,25323,forest
1540,3270,2458,16292,forest
1717,3552,2379,19018,forest
937,2536,1199,23979,forest
2857,5321,3749,21705,forest
1475,3473,1409,29543,forest
1422,2425,1298,18061,forest
2084,3644,3316,16842,forest
1704,3251,2195,20277,forest
1147,3251,1593,23933,forest
1632,3355,2025,24851,forest
1822,3644,2333,17170,forest
1946,4548,2248,23750,forest
1887,3231,3539,10486,forest
