B02,B03,B04,B08,class
3965,5721,5911,16770,forest
3486,4234,5643,8120,forest
2058,2595,3192,5086,forest
4869,6213,7713,12058,forest
2818,3473,4666,6757,forest
2058,2595,3323,5040,forest
5439,6829,8382,15951,forest
2281,2707,3519,5531,forest
2123,2503,3119,5125,forest
3421,4168,5164,8257,forest
2058,2523,3126,5361,forest
3808,5367,5538,15139,forest
1901,3388,2307,13074,forest
3074,4463,4771,13186,forest
2169,2595,3231,5079,forest
4719,6069,7641,15158,forest
3074,4345,4640,9922,forest
4083,4954,6403,10590,forest
2058,2490,3002,4863,forest
2136,2425,3100,4863,forest
3192,5046,4738,19693,forest
2418,3657,3591,12583,forest
3801,5302,5538,17393,forest
2091,2720,3395,5551,forest
1894,3486,2281,15276,forest
2215,2576,3152,5072,forest
2222,2530,3251,5059,forest
3382,5125,4797,13173,forest
4148,5269,6311,14778,forest
3585,5361,5341,20152,forest
3912,4686,4771,14431,forest
1920,3441,2608,14758,forest
2215,2772,3873,5721,forest
2595,3316,4456,6422,forest
2064,2392,2988,4699,forest
2517,2779,3873,5741,forest
3663,5374,5754,16541,forest
4083,5813,5931,16109,forest
2235,2530,3251,4810,forest
4017,5924,6462,17662,forest
3768,4758,5826,9090,forest
2667,4266,3775,15224,forest
3703,5439,5865,16285,forest
2071,2418,3034,5341,forest
4266,5767,6232,15551,forest
3965,5046,6481,10374,forest
3853,4863,5924,10643,forest
2562,2956,4116,6245,forest
3146,3991,4719,11344,forest
4653,6023,7733,14391,forest
2274,2667,3087,4974,forest
2169,2326,3323,5066,forest
4181,6075,6291,16430,forest
3388,4843,4915,14647,forest
2956,4614,4450,15335,forest
4489,6239,7294,15617,forest
2189,2674,3126,5702,forest
5086,6606,8395,15165,forest
4155,5400,6521,11121,forest
4299,5990,6488,16482,forest
2195,2746,3414,5446,forest
3991,5020,5918,11226,forest
3624,4142,5610,10761,forest
1979,2536,3434,4961,forest
1887,2667,2517,10296,forest
2110,2464,3264,4915,forest
3460,4181,5197,8939,forest
3349,4430,5302,12032,forest
3375,5315,5249,15886,forest
2268,3106,4063,5629,forest
2536,3657,3382,12747,forest
2130,2569,3198,4673,forest
3952,5675,5826,15637,forest
2661,3159,3860,8021,forest
3801,5394,5957,15722,forest
2005,2235,3028,4738,forest
2982,4771,4653,16554,forest
2490,3015,3781,5721,forest
2209,2595,3323,4981,forest
3677,5380,5643,17105,forest
3008,4293,4279,13730,forest
1959,3604,3067,13802,forest
2163,2680,3624,5282,forest
3021,4469,4869,13382,forest
2189,2589,3336,5138,forest
2045,2385,2962,4509,forest
3919,5400,6337,13933,forest
2556,3093,3847,5669,forest
3264,4338,4954,11377,forest
2333,2739,3329,5865,forest
3971,5610,5525,17373,forest
4037,5597,5878,14641,forest
2464,2923,3958,5610,forest
2870,4850,4207,20925,forest
3834,5577,6409,14391,forest
2772,3454,4561,6678,forest
3185,4319,4810,12465,forest
2326,2700,3355,5184,forest
2235,2530,3146,4915,forest
3454,4266,5472,8192,forest
2621,3421,4640,6626,forest
3290,4017,5059,8277,forest
3696,4483,5662,8782,forest
3991,5629,6239,16181,forest
4411,5675,6711,11770,forest
1822,2982,2313,12904,forest
2982,4181,4627,13009,forest
2012,2733,3349,6377,forest
1534,3106,1789,13730,forest
1809,3087,2202,11049,forest
3690,4968,5302,14280,forest
3604,5367,5138,16928,forest
3794,5439,6337,13251,forest
2857,4555,4384,16862,forest
4319,5000,6449,12170,forest
3486,5380,5433,16915,forest
2300,2733,3408,5269,forest
3192,3893,4994,7543,forest
4050,5977,6593,17714,forest
3460,4378,5525,10577,forest
2084,2569,3237,5164,forest
5649,6848,8801,12425,forest
4109,5413,6711,15814,forest
3382,4273,5341,8814,forest
2143,2556,3441,5321,forest
2851,3598,3735,12733,forest
2589,3408,4227,9909,forest
2870,4063,4194,11501,forest
4037,5027,5597,12498,forest
3165,4345,5669,11305,forest
2877,4601,4574,14857,forest
3578,5105,5525,16338,forest
3473,4502,5217,10846,forest
2091,2418,3146,4954,forest
1606,2346,2340,7989,forest
4116,5387,6481,11639,forest
3532,4227,5374,8447,forest
2641,3015,3624,5597,forest
1959,2844,2195,11331,forest
2274,2779,3624,5361,forest
2818,3677,3788,9902,forest
2018,2621,3054,8094,forest
1593,2969,1920,14673,forest
3067,4181,4817,12314,forest
2012,2661,3021,5387,forest
3618,5138,5603,15021,forest
4515,5629,7170,11462,forest
2517,3178,4214,6383,forest
4017,5597,6377,14962,forest
3460,4791,5577,13035,forest
3198,5079,5446,15375,forest
3637,4601,5564,12602,forest
2156,2556,3375,5040,forest
3133,3729,4797,7117,forest
4607,6436,7936,15492,forest
2746,4345,4247,17694,forest
3159,4430,4627,13402,forest
2307,3985,3054,19058,forest
2268,2641,3467,5374,forest
3513,4247,5190,8801,forest
1756,3080,2602,12720,forest
2372,2975,3762,5387,forest
2097,2517,3264,5276,forest
2281,2752,3133,5492,forest
2195,2477,3211,5013,forest
3677,5361,5715,16449,forest
2621,3873,3749,12799,forest
2431,4122,2995,17314,forest
3513,5066,5361,15800,forest
2169,2733,3585,5682,forest
5040,6737,8978,15820,forest
3814,5479,5348,17885,forest
4489,5715,7222,13677,forest
2418,2903,3670,5492,forest
2025,2517,3080,4797,forest
2150,2792,3657,5577,forest
2313,3021,3808,5505,forest
4574,6239,6960,15230,forest
4175,5833,6554,15217,forest
3749,5479,5302,18704,forest
2117,2530,3237,4981,forest
2628,4279,3447,21790,forest
2189,2733,3447,5125,forest
2418,3205,3631,8113,forest
2110,2451,3028,4836,forest
2071,2471,3388,5236,forest
1842,2949,2667,11095,forest
2248,2680,3559,5197,forest
2320,3755,3126,13730,forest
2281,2825,3611,5400,forest
1475,3460,2130,16141,forest
3735,5230,5361,15683,forest
1658,3100,2051,12399,forest
2130,2241,2864,4515,forest
3362,5249,5937,11082,forest
4542,5584,7327,11829,forest
4175,5629,6560,14575,forest
2104,2667,3303,5302,forest
2484,3578,3408,13225,forest
4004,5793,6311,17603,forest
2320,2595,3251,5171,forest
3119,4627,5249,14274,forest
4266,5453,7025,14352,forest
4161,5885,6652,15846,forest
3526,4325,5498,8841,forest
4135,5361,6114,16043,forest
2890,3971,4122,13520,forest
2294,4076,3251,20204,forest
2294,2661,3310,5243,forest
3631,5027,5793,12458,forest
2104,2569,3231,5066,forest
2333,2936,3716,5721,forest
3939,5662,5951,14326,forest
3939,5000,5898,11141,forest
2241,2713,3375,5171,forest
2163,2490,3198,4771,forest
2975,4411,4083,15807,forest
2182,2497,3080,5099,forest
3985,5492,5820,15250,forest
2379,2877,3559,5262,forest
3342,5315,5433,19949,forest
2025,2412,3106,4751,forest
2071,3742,2661,14005,forest
2851,4555,3991,18992,forest
2392,2707,3493,5046,forest
2405,3034,3945,5511,forest
1684,3270,2104,13218,forest
3028,4974,4679,19713,forest
2412,2759,3637,5289,forest
2916,3375,4653,6927,forest
2517,3473,3473,11770,forest
2045,2739,3218,5649,forest
3251,4247,5105,10446,forest
2326,2851,3827,5531,forest
2844,4502,4791,16397,forest
2169,2497,3047,4653,forest
3454,4201,5217,8946,forest
3768,5610,5865,19352,forest
2189,2589,3408,4915,forest
4450,6206,7412,15499,forest
4673,6101,7458,14280,forest
2313,2956,3808,6298,forest
3493,4181,5387,8336,forest
1789,2248,2903,4411,forest
