B02,B03,B04,B08,class
1579,2464,1232,21017,forest
2582,4738,3119,23416,forest
2530,2851,3559,5754,forest
1481,2300,1167,20650,forest
1691,3657,1691,27872,forest
1442,2392,1337,18330,forest
1599,3100,1651,22852,forest
1343,2281,1206,20342,forest
2458,2549,3159,5243,forest
1763,3198,1809,23770,forest
1396,2628,1284,23619,forest
3231,3788,4823,7523,forest
1147,2077,1121,19595,forest
1409,2346,1304,16371,forest
1507,2536,1363,22944,forest
1953,3886,1914,25709,forest
1507,2576,1304,21266,forest
1901,2975,1402,24825,forest
1330,2117,1035,15715,forest
1494,2464,1278,16652,forest
1547,2595,1284,19438,forest
2490,4220,2589,16410,forest
2923,3231,4102,5885,forest
1586,2385,1284,17131,forest
2648,3749,3663,14228,forest
1730,3028,1632,24005,forest
1678,2988,1756,21908,forest
1337,2123,970,19208,forest
2359,2838,3277,5767,forest
1835,3303,1717,21240,forest
1337,1966,1147,17629,forest
1763,2831,1442,22492,forest
1461,2530,1245,20945,forest
2936,3277,4194,6213,forest
1894,3015,2032,20886,forest
1409,2471,1088,20447,forest
2438,4089,2300,17327,forest
1068,1796,983,17898,forest
1330,2392,1232,25106,forest
2313,2700,3480,5276,forest
1822,3572,1547,28200,forest
1350,2425,1193,18913,forest
1311,2254,1127,20309,forest
1383,2248,1212,20172,forest
3264,3840,5020,7451,forest
1488,2241,1193,14850,forest
1199,2359,1121,19123,forest
1245,2268,1075,16672,forest
1743,3303,1560,28606,forest
1193,2359,1167,22262,forest
2536,4181,3159,20788,forest
1848,3355,1887,23907,forest
1822,3722,1429,32532,forest
2805,4863,3880,20683,forest
1861,3853,1835,27708,forest
2779,4424,3034,17386,forest
2929,3355,3958,6350,forest
1724,3165,1593,25513,forest
1396,2910,1501,21358,forest
1468,2792,1376,26797,forest
1612,2261,1330,20473,forest
1514,2569,1291,20244,forest
1874,3427,2064,22072,forest
1586,2635,1311,21463,forest
1232,2169,1206,19339,forest
2071,4234,2294,23226,forest
1501,2818,1271,25270,forest
1357,2425,1167,17072,forest
